Condition	Block	Frequency	Timing File	Info	TaskObject#1	TaskObject#2	TaskObject#3
88	2	1	kikuchi_decisiontiming_v1.m	'block_name','medium','mean_dur',5.0,'predictability',0.25,'actual_seq_dur',4.0381,'n_beeps',11,'isis_mean',0.3488,'isis_std',0.0612,'practice',0,'beep_wav_index',88	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0088.wav')
89	2	1	kikuchi_decisiontiming_v1.m	'block_name','medium','mean_dur',5.0,'predictability',1.0,'actual_seq_dur',2.63,'n_beeps',7,'isis_mean',0.38,'isis_std',0.0,'practice',0,'beep_wav_index',89	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0089.wav')
90	2	1	kikuchi_decisiontiming_v1.m	'block_name','medium','mean_dur',5.0,'predictability',0.5,'actual_seq_dur',4.8302,'n_beeps',12,'isis_mean',0.3846,'isis_std',0.0503,'practice',0,'beep_wav_index',90	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0090.wav')
91	2	1	kikuchi_decisiontiming_v1.m	'block_name','medium','mean_dur',5.0,'predictability',1.0,'actual_seq_dur',3.92,'n_beeps',10,'isis_mean',0.38,'isis_std',0.0,'practice',0,'beep_wav_index',91	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0091.wav')
92	2	1	kikuchi_decisiontiming_v1.m	'block_name','medium','mean_dur',5.0,'predictability',0.25,'actual_seq_dur',3.6725,'n_beeps',10,'isis_mean',0.3525,'isis_std',0.051,'practice',0,'beep_wav_index',92	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0092.wav')
93	2	1	kikuchi_decisiontiming_v1.m	'block_name','medium','mean_dur',5.0,'predictability',0.0,'actual_seq_dur',6.6222,'n_beeps',17,'isis_mean',0.3608,'isis_std',0.0561,'practice',0,'beep_wav_index',93	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0093.wav')
94	2	1	kikuchi_decisiontiming_v1.m	'block_name','medium','mean_dur',5.0,'predictability',0.25,'actual_seq_dur',6.8036,'n_beeps',17,'isis_mean',0.3721,'isis_std',0.0745,'practice',0,'beep_wav_index',94	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0094.wav')
95	2	1	kikuchi_decisiontiming_v1.m	'block_name','medium','mean_dur',5.0,'predictability',0.5,'actual_seq_dur',5.8084,'n_beeps',14,'isis_mean',0.393,'isis_std',0.0411,'practice',0,'beep_wav_index',95	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0095.wav')
96	2	1	kikuchi_decisiontiming_v1.m	'block_name','medium','mean_dur',5.0,'predictability',0.25,'actual_seq_dur',6.6066,'n_beeps',16,'isis_mean',0.3871,'isis_std',0.0607,'practice',0,'beep_wav_index',96	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0096.wav')
97	2	1	kikuchi_decisiontiming_v1.m	'block_name','medium','mean_dur',5.0,'predictability',1.0,'actual_seq_dur',4.35,'n_beeps',11,'isis_mean',0.38,'isis_std',0.0,'practice',0,'beep_wav_index',97	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0097.wav')
98	2	1	kikuchi_decisiontiming_v1.m	'block_name','medium','mean_dur',5.0,'predictability',0.75,'actual_seq_dur',3.593,'n_beeps',9,'isis_mean',0.3929,'isis_std',0.0214,'practice',0,'beep_wav_index',98	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0098.wav')
99	2	1	kikuchi_decisiontiming_v1.m	'block_name','medium','mean_dur',5.0,'predictability',0.0,'actual_seq_dur',3.9256,'n_beeps',10,'isis_mean',0.3806,'isis_std',0.1154,'practice',0,'beep_wav_index',99	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0099.wav')
100	2	1	kikuchi_decisiontiming_v1.m	'block_name','medium','mean_dur',5.0,'predictability',0.0,'actual_seq_dur',6.6014,'n_beeps',17,'isis_mean',0.3595,'isis_std',0.0965,'practice',0,'beep_wav_index',100	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0100.wav')
101	2	1	kikuchi_decisiontiming_v1.m	'block_name','medium','mean_dur',5.0,'predictability',0.5,'actual_seq_dur',6.4457,'n_beeps',15,'isis_mean',0.4068,'isis_std',0.0374,'practice',0,'beep_wav_index',101	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0101.wav')
102	2	1	kikuchi_decisiontiming_v1.m	'block_name','medium','mean_dur',5.0,'predictability',0.75,'actual_seq_dur',3.8326,'n_beeps',10,'isis_mean',0.3703,'isis_std',0.0237,'practice',0,'beep_wav_index',102	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0102.wav')
103	2	1	kikuchi_decisiontiming_v1.m	'block_name','medium','mean_dur',5.0,'predictability',1.0,'actual_seq_dur',9.08,'n_beeps',22,'isis_mean',0.38,'isis_std',0.0,'practice',0,'beep_wav_index',103	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0103.wav')
104	2	1	kikuchi_decisiontiming_v1.m	'block_name','medium','mean_dur',5.0,'predictability',1.0,'actual_seq_dur',7.36,'n_beeps',18,'isis_mean',0.38,'isis_std',0.0,'practice',0,'beep_wav_index',104	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0104.wav')
105	2	1	kikuchi_decisiontiming_v1.m	'block_name','medium','mean_dur',5.0,'predictability',0.5,'actual_seq_dur',4.2689,'n_beeps',11,'isis_mean',0.3719,'isis_std',0.0485,'practice',0,'beep_wav_index',105	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0105.wav')
106	2	1	kikuchi_decisiontiming_v1.m	'block_name','medium','mean_dur',5.0,'predictability',0.75,'actual_seq_dur',5.7584,'n_beeps',14,'isis_mean',0.3891,'isis_std',0.0138,'practice',0,'beep_wav_index',106	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0106.wav')
107	2	1	kikuchi_decisiontiming_v1.m	'block_name','medium','mean_dur',5.0,'predictability',0.5,'actual_seq_dur',2.9823,'n_beeps',8,'isis_mean',0.3689,'isis_std',0.0448,'practice',0,'beep_wav_index',107	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0107.wav')
108	2	1	kikuchi_decisiontiming_v1.m	'block_name','medium','mean_dur',5.0,'predictability',0.5,'actual_seq_dur',7.6139,'n_beeps',19,'isis_mean',0.3702,'isis_std',0.0371,'practice',0,'beep_wav_index',108	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0108.wav')
109	2	1	kikuchi_decisiontiming_v1.m	'block_name','medium','mean_dur',5.0,'predictability',0.25,'actual_seq_dur',3.6313,'n_beeps',10,'isis_mean',0.3479,'isis_std',0.0366,'practice',0,'beep_wav_index',109	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0109.wav')
110	2	1	kikuchi_decisiontiming_v1.m	'block_name','medium','mean_dur',5.0,'predictability',0.5,'actual_seq_dur',2.6449,'n_beeps',7,'isis_mean',0.3825,'isis_std',0.0377,'practice',0,'beep_wav_index',110	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0110.wav')
111	2	1	kikuchi_decisiontiming_v1.m	'block_name','medium','mean_dur',5.0,'predictability',0.25,'actual_seq_dur',4.9238,'n_beeps',12,'isis_mean',0.3931,'isis_std',0.0695,'practice',0,'beep_wav_index',111	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0111.wav')
112	2	1	kikuchi_decisiontiming_v1.m	'block_name','medium','mean_dur',5.0,'predictability',0.25,'actual_seq_dur',5.0169,'n_beeps',12,'isis_mean',0.4015,'isis_std',0.0706,'practice',0,'beep_wav_index',112	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0112.wav')
113	2	1	kikuchi_decisiontiming_v1.m	'block_name','medium','mean_dur',5.0,'predictability',0.5,'actual_seq_dur',3.428,'n_beeps',9,'isis_mean',0.3723,'isis_std',0.0466,'practice',0,'beep_wav_index',113	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0113.wav')
114	2	1	kikuchi_decisiontiming_v1.m	'block_name','medium','mean_dur',5.0,'predictability',0.5,'actual_seq_dur',3.1136,'n_beeps',8,'isis_mean',0.3877,'isis_std',0.0452,'practice',0,'beep_wav_index',114	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0114.wav')
115	2	1	kikuchi_decisiontiming_v1.m	'block_name','medium','mean_dur',5.0,'predictability',0.0,'actual_seq_dur',3.1079,'n_beeps',8,'isis_mean',0.3868,'isis_std',0.0736,'practice',0,'beep_wav_index',115	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0115.wav')
116	2	1	kikuchi_decisiontiming_v1.m	'block_name','medium','mean_dur',5.0,'predictability',0.25,'actual_seq_dur',2.9019,'n_beeps',8,'isis_mean',0.3574,'isis_std',0.0585,'practice',0,'beep_wav_index',116	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0116.wav')
117	2	1	kikuchi_decisiontiming_v1.m	'block_name','medium','mean_dur',5.0,'predictability',0.0,'actual_seq_dur',4.3375,'n_beeps',10,'isis_mean',0.4264,'isis_std',0.0721,'practice',0,'beep_wav_index',117	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0117.wav')
118	2	1	kikuchi_decisiontiming_v1.m	'block_name','medium','mean_dur',5.0,'predictability',0.0,'actual_seq_dur',5.4863,'n_beeps',14,'isis_mean',0.3682,'isis_std',0.0855,'practice',0,'beep_wav_index',118	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0118.wav')
119	2	1	kikuchi_decisiontiming_v1.m	'block_name','medium','mean_dur',5.0,'predictability',0.0,'actual_seq_dur',4.0233,'n_beeps',10,'isis_mean',0.3915,'isis_std',0.0963,'practice',0,'beep_wav_index',119	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0119.wav')
120	2	1	kikuchi_decisiontiming_v1.m	'block_name','medium','mean_dur',5.0,'predictability',0.5,'actual_seq_dur',6.3084,'n_beeps',15,'isis_mean',0.397,'isis_std',0.041,'practice',0,'beep_wav_index',120	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0120.wav')
121	3	1	kikuchi_decisiontiming_v1.m	'block_name','long','mean_dur',8.0,'predictability',0.0,'actual_seq_dur',7.7335,'n_beeps',15,'isis_mean',0.4988,'isis_std',0.0992,'practice',0,'beep_wav_index',121	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0121.wav')
122	3	1	kikuchi_decisiontiming_v1.m	'block_name','long','mean_dur',8.0,'predictability',0.75,'actual_seq_dur',8.8781,'n_beeps',17,'isis_mean',0.5018,'isis_std',0.02,'practice',0,'beep_wav_index',122	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0122.wav')
123	3	1	kikuchi_decisiontiming_v1.m	'block_name','long','mean_dur',8.0,'predictability',1.0,'actual_seq_dur',10.5,'n_beeps',20,'isis_mean',0.5,'isis_std',0.0,'practice',0,'beep_wav_index',123	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0123.wav')
124	3	1	kikuchi_decisiontiming_v1.m	'block_name','long','mean_dur',8.0,'predictability',0.75,'actual_seq_dur',4.9789,'n_beeps',10,'isis_mean',0.4977,'isis_std',0.0222,'practice',0,'beep_wav_index',124	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0124.wav')
125	3	1	kikuchi_decisiontiming_v1.m	'block_name','long','mean_dur',8.0,'predictability',1.0,'actual_seq_dur',6.1,'n_beeps',12,'isis_mean',0.5,'isis_std',0.0,'practice',0,'beep_wav_index',125	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0125.wav')
126	3	1	kikuchi_decisiontiming_v1.m	'block_name','long','mean_dur',8.0,'predictability',0.25,'actual_seq_dur',8.2585,'n_beeps',16,'isis_mean',0.4972,'isis_std',0.0565,'practice',0,'beep_wav_index',126	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0126.wav')
127	3	1	kikuchi_decisiontiming_v1.m	'block_name','long','mean_dur',8.0,'predictability',0.5,'actual_seq_dur',7.1547,'n_beeps',14,'isis_mean',0.4965,'isis_std',0.0413,'practice',0,'beep_wav_index',127	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0127.wav')
128	3	1	kikuchi_decisiontiming_v1.m	'block_name','long','mean_dur',8.0,'predictability',0.0,'actual_seq_dur',9.1118,'n_beeps',17,'isis_mean',0.5164,'isis_std',0.0893,'practice',0,'beep_wav_index',128	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0128.wav')
129	3	1	kikuchi_decisiontiming_v1.m	'block_name','long','mean_dur',8.0,'predictability',1.0,'actual_seq_dur',5.55,'n_beeps',11,'isis_mean',0.5,'isis_std',0.0,'practice',0,'beep_wav_index',129	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0129.wav')
130	3	1	kikuchi_decisiontiming_v1.m	'block_name','long','mean_dur',8.0,'predictability',0.0,'actual_seq_dur',7.55,'n_beeps',14,'isis_mean',0.5269,'isis_std',0.0735,'practice',0,'beep_wav_index',130	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0130.wav')
131	3	1	kikuchi_decisiontiming_v1.m	'block_name','long','mean_dur',8.0,'predictability',0.0,'actual_seq_dur',8.1395,'n_beeps',17,'isis_mean',0.4556,'isis_std',0.0758,'practice',0,'beep_wav_index',131	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0131.wav')
132	3	1	kikuchi_decisiontiming_v1.m	'block_name','long','mean_dur',8.0,'predictability',1.0,'actual_seq_dur',4.45,'n_beeps',9,'isis_mean',0.5,'isis_std',0.0,'practice',0,'beep_wav_index',132	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0132.wav')
133	3	1	kikuchi_decisiontiming_v1.m	'block_name','long','mean_dur',8.0,'predictability',0.5,'actual_seq_dur',7.1408,'n_beeps',14,'isis_mean',0.4954,'isis_std',0.0367,'practice',0,'beep_wav_index',133	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0133.wav')
134	3	1	kikuchi_decisiontiming_v1.m	'block_name','long','mean_dur',8.0,'predictability',1.0,'actual_seq_dur',8.3,'n_beeps',16,'isis_mean',0.5,'isis_std',0.0,'practice',0,'beep_wav_index',134	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0134.wav')
135	3	1	kikuchi_decisiontiming_v1.m	'block_name','long','mean_dur',8.0,'predictability',1.0,'actual_seq_dur',11.05,'n_beeps',21,'isis_mean',0.5,'isis_std',0.0,'practice',0,'beep_wav_index',135	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0135.wav')
136	3	1	kikuchi_decisiontiming_v1.m	'block_name','long','mean_dur',8.0,'predictability',0.5,'actual_seq_dur',7.298,'n_beeps',14,'isis_mean',0.5075,'isis_std',0.0439,'practice',0,'beep_wav_index',136	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0136.wav')
137	3	1	kikuchi_decisiontiming_v1.m	'block_name','long','mean_dur',8.0,'predictability',0.25,'actual_seq_dur',5.3612,'n_beeps',11,'isis_mean',0.4811,'isis_std',0.0651,'practice',0,'beep_wav_index',137	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0137.wav')
138	3	1	kikuchi_decisiontiming_v1.m	'block_name','long','mean_dur',8.0,'predictability',0.25,'actual_seq_dur',9.174,'n_beeps',18,'isis_mean',0.4867,'isis_std',0.0624,'practice',0,'beep_wav_index',138	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0138.wav')
139	3	1	kikuchi_decisiontiming_v1.m	'block_name','long','mean_dur',8.0,'predictability',0.75,'actual_seq_dur',5.9928,'n_beeps',12,'isis_mean',0.4903,'isis_std',0.0179,'practice',0,'beep_wav_index',139	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0139.wav')
140	3	1	kikuchi_decisiontiming_v1.m	'block_name','long','mean_dur',8.0,'predictability',0.75,'actual_seq_dur',6.1996,'n_beeps',12,'isis_mean',0.5091,'isis_std',0.0242,'practice',0,'beep_wav_index',140	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0140.wav')
141	3	1	kikuchi_decisiontiming_v1.m	'block_name','long','mean_dur',8.0,'predictability',1.0,'actual_seq_dur',7.2,'n_beeps',14,'isis_mean',0.5,'isis_std',0.0,'practice',0,'beep_wav_index',141	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0141.wav')
142	3	1	kikuchi_decisiontiming_v1.m	'block_name','long','mean_dur',8.0,'predictability',0.5,'actual_seq_dur',7.4146,'n_beeps',14,'isis_mean',0.5165,'isis_std',0.0386,'practice',0,'beep_wav_index',142	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0142.wav')
143	3	1	kikuchi_decisiontiming_v1.m	'block_name','long','mean_dur',8.0,'predictability',0.5,'actual_seq_dur',4.794,'n_beeps',10,'isis_mean',0.4771,'isis_std',0.0307,'practice',0,'beep_wav_index',143	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0143.wav')
144	3	1	kikuchi_decisiontiming_v1.m	'block_name','long','mean_dur',8.0,'predictability',0.0,'actual_seq_dur',8.26,'n_beeps',16,'isis_mean',0.4973,'isis_std',0.0893,'practice',0,'beep_wav_index',144	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0144.wav')
145	3	1	kikuchi_decisiontiming_v1.m	'block_name','long','mean_dur',8.0,'predictability',0.5,'actual_seq_dur',7.9613,'n_beeps',16,'isis_mean',0.4774,'isis_std',0.0448,'practice',0,'beep_wav_index',145	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0145.wav')
146	3	1	kikuchi_decisiontiming_v1.m	'block_name','long','mean_dur',8.0,'predictability',0.5,'actual_seq_dur',5.4636,'n_beeps',11,'isis_mean',0.4914,'isis_std',0.048,'practice',0,'beep_wav_index',146	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0146.wav')
147	3	1	kikuchi_decisiontiming_v1.m	'block_name','long','mean_dur',8.0,'predictability',0.0,'actual_seq_dur',7.8591,'n_beeps',14,'isis_mean',0.5507,'isis_std',0.0813,'practice',0,'beep_wav_index',147	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0147.wav')
148	3	1	kikuchi_decisiontiming_v1.m	'block_name','long','mean_dur',8.0,'predictability',0.0,'actual_seq_dur',3.881,'n_beeps',8,'isis_mean',0.4973,'isis_std',0.0968,'practice',0,'beep_wav_index',148	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0148.wav')
149	3	1	kikuchi_decisiontiming_v1.m	'block_name','long','mean_dur',8.0,'predictability',0.5,'actual_seq_dur',6.5759,'n_beeps',13,'isis_mean',0.4938,'isis_std',0.0308,'practice',0,'beep_wav_index',149	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0149.wav')
150	3	1	kikuchi_decisiontiming_v1.m	'block_name','long','mean_dur',8.0,'predictability',0.25,'actual_seq_dur',7.454,'n_beeps',14,'isis_mean',0.5195,'isis_std',0.0647,'practice',0,'beep_wav_index',150	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0150.wav')
151	3	1	kikuchi_decisiontiming_v1.m	'block_name','long','mean_dur',8.0,'predictability',0.5,'actual_seq_dur',7.7881,'n_beeps',15,'isis_mean',0.5027,'isis_std',0.0483,'practice',0,'beep_wav_index',151	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0151.wav')
152	3	1	kikuchi_decisiontiming_v1.m	'block_name','long','mean_dur',8.0,'predictability',0.75,'actual_seq_dur',5.0239,'n_beeps',10,'isis_mean',0.5027,'isis_std',0.0211,'practice',0,'beep_wav_index',152	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0152.wav')
153	3	1	kikuchi_decisiontiming_v1.m	'block_name','long','mean_dur',8.0,'predictability',0.75,'actual_seq_dur',10.4717,'n_beeps',20,'isis_mean',0.4985,'isis_std',0.0234,'practice',0,'beep_wav_index',153	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0153.wav')
154	3	1	kikuchi_decisiontiming_v1.m	'block_name','long','mean_dur',8.0,'predictability',0.25,'actual_seq_dur',9.6463,'n_beeps',19,'isis_mean',0.4831,'isis_std',0.0471,'practice',0,'beep_wav_index',154	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0154.wav')
155	3	1	kikuchi_decisiontiming_v1.m	'block_name','long','mean_dur',8.0,'predictability',1.0,'actual_seq_dur',7.2,'n_beeps',14,'isis_mean',0.5,'isis_std',0.0,'practice',0,'beep_wav_index',155	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0155.wav')
156	3	1	kikuchi_decisiontiming_v1.m	'block_name','long','mean_dur',8.0,'predictability',0.0,'actual_seq_dur',7.6698,'n_beeps',15,'isis_mean',0.4943,'isis_std',0.0874,'practice',0,'beep_wav_index',156	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0156.wav')
157	3	1	kikuchi_decisiontiming_v1.m	'block_name','long','mean_dur',8.0,'predictability',0.25,'actual_seq_dur',9.8058,'n_beeps',19,'isis_mean',0.492,'isis_std',0.0658,'practice',0,'beep_wav_index',157	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0157.wav')
158	3	1	kikuchi_decisiontiming_v1.m	'block_name','long','mean_dur',8.0,'predictability',0.25,'actual_seq_dur',7.1239,'n_beeps',14,'isis_mean',0.4941,'isis_std',0.0721,'practice',0,'beep_wav_index',158	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0158.wav')
159	3	1	kikuchi_decisiontiming_v1.m	'block_name','long','mean_dur',8.0,'predictability',0.25,'actual_seq_dur',3.1947,'n_beeps',7,'isis_mean',0.4741,'isis_std',0.0694,'practice',0,'beep_wav_index',159	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0159.wav')
160	3	1	kikuchi_decisiontiming_v1.m	'block_name','long','mean_dur',8.0,'predictability',0.75,'actual_seq_dur',7.1318,'n_beeps',14,'isis_mean',0.4948,'isis_std',0.0204,'practice',0,'beep_wav_index',160	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0160.wav')
161	3	1	kikuchi_decisiontiming_v1.m	'block_name','long','mean_dur',8.0,'predictability',1.0,'actual_seq_dur',8.85,'n_beeps',17,'isis_mean',0.5,'isis_std',0.0,'practice',0,'beep_wav_index',161	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0161.wav')
162	3	1	kikuchi_decisiontiming_v1.m	'block_name','long','mean_dur',8.0,'predictability',0.75,'actual_seq_dur',7.1365,'n_beeps',14,'isis_mean',0.4951,'isis_std',0.0147,'practice',0,'beep_wav_index',162	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0162.wav')
163	3	1	kikuchi_decisiontiming_v1.m	'block_name','long','mean_dur',8.0,'predictability',0.25,'actual_seq_dur',7.5941,'n_beeps',15,'isis_mean',0.4889,'isis_std',0.0764,'practice',0,'beep_wav_index',163	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0163.wav')
164	3	1	kikuchi_decisiontiming_v1.m	'block_name','long','mean_dur',8.0,'predictability',0.5,'actual_seq_dur',5.1494,'n_beeps',10,'isis_mean',0.5166,'isis_std',0.0319,'practice',0,'beep_wav_index',164	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0164.wav')
165	3	1	kikuchi_decisiontiming_v1.m	'block_name','long','mean_dur',8.0,'predictability',1.0,'actual_seq_dur',6.1,'n_beeps',12,'isis_mean',0.5,'isis_std',0.0,'practice',0,'beep_wav_index',165	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0165.wav')
166	3	1	kikuchi_decisiontiming_v1.m	'block_name','long','mean_dur',8.0,'predictability',1.0,'actual_seq_dur',5.0,'n_beeps',10,'isis_mean',0.5,'isis_std',0.0,'practice',0,'beep_wav_index',166	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0166.wav')
167	3	1	kikuchi_decisiontiming_v1.m	'block_name','long','mean_dur',8.0,'predictability',0.0,'actual_seq_dur',7.9017,'n_beeps',15,'isis_mean',0.5108,'isis_std',0.0804,'practice',0,'beep_wav_index',167	"fix(0,0)"	"sqr(0.5,[0.61 0.61 0.61],1,0,7)"	snd('./wavs/beep_train_0167.wav')
